#For superellipsoids (12 columns:rx	ry	rz	eps1	eps2	x	y	z	q0	q1	q2	q3)
3.745228e-04	2.737799e-04	2.402821e-04	7.445576e-01	7.372533e-01	6.983984e-03	4.115774e-03	4.607078e-03	8.638303e-04	-1.711488e-02	-9.867218e-01	1.615131e-01
4.230909e-04	3.985225e-04	4.223495e-04	7.024781e-01	1.024992e+00	3.399253e-03	2.284726e-03	2.712427e-03	-3.871027e-01	-6.845290e-01	-5.697330e-01	2.386962e-01
2.553562e-04	3.747172e-04	3.028395e-04	8.328653e-01	1.360360e+00	3.331176e-03	7.163270e-03	7.024787e-03	-9.660433e-01	-7.691153e-02	-2.372345e-01	-6.756250e-02
3.207733e-04	2.340787e-04	4.276954e-04	1.630025e+00	1.419591e+00	5.781615e-03	7.255533e-03	6.396289e-03	-4.589218e-01	7.786968e-01	-1.605412e-01	3.965459e-01
2.859515e-04	3.904763e-04	3.150464e-04	7.288969e-01	1.462099e+00	2.752929e-03	7.279023e-03	4.607098e-03	-5.902922e-01	2.377864e-02	-4.218390e-01	-6.877802e-01
2.500578e-04	2.515119e-04	2.461284e-04	1.300437e+00	1.527026e+00	5.715844e-03	6.141079e-03	5.291573e-03	-4.045578e-01	3.898425e-03	-8.664015e-01	-2.926880e-01
2.509291e-04	2.919289e-04	3.869868e-04	7.048044e-01	1.391458e+00	3.378756e-03	7.282400e-03	3.252493e-03	6.493823e-01	3.178224e-02	3.146036e-01	-6.916047e-01
4.278159e-04	2.417929e-04	2.139811e-04	6.227311e-01	1.596668e+00	3.478802e-03	2.096361e-03	3.583620e-03	-1.479787e-01	9.641247e-01	-4.723583e-02	-2.152548e-01
2.253547e-04	3.368441e-04	2.749976e-04	1.030996e+00	7.258006e-01	4.730473e-03	4.258920e-03	2.820457e-03	1.254356e-01	7.466252e-01	-5.666573e-01	3.251403e-01
3.415753e-04	3.277271e-04	2.649849e-04	1.257223e+00	1.616130e+00	5.064877e-03	7.231135e-03	5.150401e-03	-3.649150e-02	4.162551e-02	-1.921382e-01	-9.798054e-01
2.681843e-04	2.266723e-04	2.221362e-04	1.317567e+00	6.749252e-01	4.136307e-03	2.101696e-03	2.009157e-03	6.567586e-01	6.974839e-01	1.078769e-01	-2.656068e-01
2.335158e-04	4.388961e-04	4.420261e-04	9.767506e-01	1.539337e+00	4.483566e-03	5.302279e-03	3.727488e-03	-4.748830e-01	-7.784916e-01	-2.931960e-01	-2.871811e-01
2.292157e-04	3.676818e-04	4.004090e-04	1.356356e+00	1.255975e+00	2.790613e-03	3.344494e-03	2.109621e-03	5.353738e-01	3.648590e-01	7.220716e-03	-7.617090e-01
3.112816e-04	2.932685e-04	2.276727e-04	1.079864e+00	6.661348e-01	4.882107e-03	5.980326e-03	5.269196e-03	1.338052e-01	9.180418e-01	-8.363449e-02	3.637315e-01
3.082435e-04	2.416799e-04	3.777991e-04	1.233732e+00	1.685970e+00	5.853412e-03	4.176729e-03	3.051922e-03	-9.020860e-01	-3.041822e-01	-2.530890e-02	3.050796e-01
4.334271e-04	4.133318e-04	2.798057e-04	1.570922e+00	6.198111e-01	2.129251e-03	6.075668e-03	6.417262e-03	-1.872927e-01	-3.039761e-01	7.967899e-01	-4.874894e-01
3.093919e-04	3.658861e-04	2.110654e-04	7.892517e-01	9.226943e-01	4.522205e-03	2.738990e-03	2.027412e-03	2.621363e-03	-1.981484e-01	-1.371851e-02	9.800725e-01
3.033931e-04	3.965274e-04	4.416369e-04	1.448533e+00	1.441459e+00	6.629214e-03	3.558902e-03	4.204308e-03	6.608287e-02	7.680600e-01	-5.529240e-01	3.162150e-01
3.786036e-04	3.850734e-04	4.200348e-04	1.137607e+00	1.503563e+00	2.105934e-03	5.618691e-03	2.588931e-03	7.365392e-01	4.318349e-01	4.896456e-01	-1.768496e-01
3.088843e-04	3.767910e-04	3.924673e-04	8.760040e-01	1.529174e+00	7.047715e-03	3.159851e-03	3.862105e-03	-1.851329e-01	-8.571075e-01	3.521238e-01	3.272635e-01
4.246224e-04	3.719042e-04	3.199387e-04	1.237260e+00	7.099000e-01	3.866163e-03	5.445644e-03	7.395629e-03	7.503903e-01	5.271163e-01	3.938606e-01	-6.274283e-02
3.142224e-04	3.414445e-04	3.162395e-04	9.762641e-01	8.922536e-01	2.765553e-03	6.630907e-03	2.107269e-03	6.866791e-01	1.710094e-01	-6.768089e-01	2.028726e-01
4.157420e-04	4.290901e-04	3.788033e-04	1.400046e+00	1.499019e+00	5.075940e-03	2.920475e-03	4.438634e-03	-2.995560e-01	2.027381e-01	-7.752677e-01	5.178065e-01
3.287130e-04	2.215255e-04	3.667211e-04	1.465919e+00	8.037136e-01	5.556381e-03	3.464600e-03	7.524314e-03	-3.051087e-01	2.159408e-01	-6.731980e-01	-6.380304e-01
3.151968e-04	2.339653e-04	2.493608e-04	7.123444e-01	1.306737e+00	2.311738e-03	5.846297e-03	3.776267e-03	4.173897e-02	-3.322796e-01	8.726546e-01	3.554182e-01
2.931713e-04	4.113460e-04	3.256983e-04	1.199181e+00	1.066901e+00	6.979786e-03	4.227931e-03	2.116939e-03	-5.408851e-01	-2.666795e-02	-2.108714e-01	8.137969e-01
2.272640e-04	3.664091e-04	4.472389e-04	6.397415e-01	7.467896e-01	3.382287e-03	3.217982e-03	4.956262e-03	4.018590e-01	-6.437743e-01	-1.220778e-01	6.396570e-01
4.444239e-04	3.379527e-04	2.510678e-04	7.068448e-01	7.334926e-01	4.280703e-03	5.952112e-03	7.425538e-03	-6.331028e-01	5.662286e-01	-3.521024e-01	3.931791e-01
3.108658e-04	3.143366e-04	3.681286e-04	1.010108e+00	8.132106e-01	5.525951e-03	5.782997e-03	2.169813e-03	-9.829865e-01	-1.582861e-02	-6.496060e-02	1.710762e-01
2.474720e-04	2.377328e-04	2.674925e-04	8.552503e-01	1.590398e+00	6.630617e-03	2.464661e-03	2.459666e-03	6.198627e-01	-6.859245e-02	1.908494e-01	-7.580513e-01
3.502861e-04	2.170587e-04	2.189855e-04	1.229377e+00	7.443508e-01	3.438000e-03	7.314097e-03	6.591566e-03	-7.091566e-01	6.363375e-01	2.167558e-01	2.125756e-01
